id,date,hour,status
1,2014-01-06,0,-1
1,2014-01-06,1,-1
1,2014-01-06,2,-1
1,2014-01-06,3,-1
1,2014-01-06,4,-1
1,2014-01-06,5,-1
1,2014-01-06,6,-1
1,2014-01-06,7,1
1,2014-01-06,8,0
1,2014-01-06,9,-1
1,2014-01-06,10,-1
1,2014-01-06,11,-1
1,2014-01-06,12,1
1,2014-01-06,13,1
1,2014-01-06,14,-1
1,2014-01-06,15,-1
1,2014-01-06,16,-1
1,2014-01-06,17,1
1,2014-01-06,18,-1
1,2014-01-06,19,1
1,2014-01-06,20,1
1,2014-01-06,21,-1
1,2014-01-06,22,1
1,2014-01-06,23,1
1,2014-01-07,0,-1
1,2014-01-07,1,1
1,2014-01-07,2,-1
1,2014-01-07,3,1
1,2014-01-07,4,-1
1,2014-01-07,5,-1
1,2014-01-07,6,-1
1,2014-01-07,7,1
1,2014-01-07,8,0
1,2014-01-07,9,-1
1,2014-01-07,10,-1
1,2014-01-07,11,-1
1,2014-01-07,12,1
1,2014-01-07,13,1
1,2014-01-07,14,-1
1,2014-01-07,15,-1
1,2014-01-07,16,-1
1,2014-01-07,17,1
1,2014-01-07,18,1
1,2014-01-07,19,-1
1,2014-01-07,20,1
1,2014-01-07,21,-1
1,2014-01-07,22,-1
1,2014-01-07,23,-1
1,2014-01-08,0,-1
1,2014-01-08,1,-1
1,2014-01-08,2,-1
1,2014-01-08,3,-1
1,2014-01-08,4,-1
1,2014-01-08,5,-1
1,2014-01-08,6,-1
1,2014-01-08,7,1
1,2014-01-08,8,0
1,2014-01-08,9,-1
1,2014-01-08,10,-1
1,2014-01-08,11,-1
1,2014-01-08,12,1
1,2014-01-08,13,1
1,2014-01-08,14,-1
1,2014-01-08,15,-1
1,2014-01-08,16,-1
1,2014-01-08,17,1
1,2014-01-08,18,-1
1,2014-01-08,19,1
1,2014-01-08,20,-1
1,2014-01-08,21,1
1,2014-01-08,22,-1
1,2014-01-08,23,1
1,2014-01-09,0,-1
1,2014-01-09,1,-1
1,2014-01-09,2,-1
1,2014-01-09,3,1
1,2014-01-09,4,-1
1,2014-01-09,5,-1
1,2014-01-09,6,-1
1,2014-01-09,7,1
1,2014-01-09,8,-1
1,2014-01-09,9,-1
1,2014-01-09,10,-1
1,2014-01-09,11,-1
1,2014-01-09,12,1
1,2014-01-09,13,1
1,2014-01-09,14,-1
1,2014-01-09,15,-1
1,2014-01-09,16,-1
1,2014-01-09,17,1
1,2014-01-09,18,-1
1,2014-01-09,19,-1
1,2014-01-09,20,-1
1,2014-01-09,21,-1
1,2014-01-09,22,-1
1,2014-01-09,23,-1
1,2014-01-10,0,-1
1,2014-01-10,1,-1
1,2014-01-10,2,-1
1,2014-01-10,3,-1
1,2014-01-10,4,-1
1,2014-01-10,5,-1
1,2014-01-10,6,-1
1,2014-01-10,7,1
1,2014-01-10,8,1
1,2014-01-10,9,-1
1,2014-01-10,10,-1
1,2014-01-10,11,-1
1,2014-01-10,12,1
1,2014-01-10,13,1
1,2014-01-10,14,-1
1,2014-01-10,15,-1
1,2014-01-10,16,-1
1,2014-01-10,17,1
1,2014-01-10,18,-1
1,2014-01-10,19,1
1,2014-01-10,20,-1
1,2014-01-10,21,-1
1,2014-01-10,22,-1
1,2014-01-10,23,1
1,2014-01-11,0,-1
