location,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Abila Airport,0.0,0.0,1.0,2.0,3.0,0.0,0.0,8.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abila Scrapyard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abila Zacharo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ahaggo Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Albert's Fine Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,14.0,2.0,0.0
Bean There Done That,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brew've Been Served,0.0,0.0,93.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brewed Awakenings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlyle Chemical Inc.,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Chostus Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coffee Cameleon,0.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coffee Shack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daily Dealz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desafio Golf Course,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank's Fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Frydos Autosupply n' More,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,10.0,23.0,5.0,0.0
Gelatogalore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
General Grocer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0
Guy's Gyros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,12.0,0.0,0.0,0.0,0.0,31.0,59.0,6.0,0.0
Hallowed Grounds,0.0,0.0,72.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hippokampos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,11.0,0.0,0.0,0.0,0.0,27.0,43.0,21.0,1.0
Jack's Magical Beans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalami Kafenion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,11.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Katerinas Café,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,13.0,0.0,0.0,0.0,3.0,36.0,84.0,14.0,0.0
Kronos Mart,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kronos Pipe and Irrigation,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximum Iron and Steel,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nationwide Refinery,0.0,0.0,0.0,0.0,1.0,11.0,5.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Octavio's Office Supplies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ouzeri Elian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,9.0,0.0,0.0,0.0,1.0,12.0,15.0,4.0,0.0
Roberts and Sons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0
